TITLE,Ngb_ferric_NaP_pH6.0_pos_1_LCJG_020226
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,26/02/02
TIME,11:14:54
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
FIRSTX,  700.0000
LASTX,  200.0000
NPOINTS,    5001
FIRSTY,     1.82408
MAXY,   107.53758
MINY,  -171.80385
XYDATA
681.8000,1.63053,336.281
681.7000,1.57678,336.408
681.6000,1.67525,336.545
681.5000,1.69126,336.671
681.4000,1.75065,336.804
681.3000,1.82758,336.921
681.2000,1.93824,337.023
681.1000,2.0036,337.164
681.0000,2.07646,337.264
680.9000,2.02698,337.385
680.8000,2.03899,337.502
680.7000,2.06086,337.579
680.6000,2.1392,337.685
680.5000,2.11559,337.785
680.4000,2.12541,337.888
680.3000,2.1115,337.963
680.2000,2.26933,338.025
680.1000,2.30901,338.089
680.0000,2.33963,338.166
679.9000,2.32481,338.219
679.8000,2.2299,338.274
679.7000,2.27125,338.303
679.6000,2.39287,338.341
679.5000,2.35022,338.366
679.4000,2.24354,338.401
679.3000,2.21882,338.424
679.2000,2.36951,338.45
679.1000,2.24578,338.477
679.0000,2.24089,338.48
678.9000,2.11256,338.482
678.8000,2.10409,338.457
678.7000,2.06686,338.462
678.6000,2.024,338.442
678.5000,2.03659,338.447
678.4000,2.06038,338.451
678.3000,2.00436,338.449
678.2000,1.91249,338.432
678.1000,1.74647,338.417
678.0000,1.64457,338.406
677.9000,1.65398,338.389
677.8000,1.7186,338.366
677.7000,1.73984,338.361
677.6000,1.75914,338.319
677.5000,1.79017,338.311
677.4000,1.7723,338.297
677.3000,1.82233,338.275
677.2000,1.85284,338.254
677.1000,1.81285,338.236
677.0000,1.88345,338.215
676.9000,1.8897,338.204
676.8000,1.92345,338.172
676.7000,1.86593,338.14
676.6000,1.72434,338.124
676.5000,1.70678,338.09
676.4000,1.84746,338.067
676.3000,1.88565,338.044
676.2000,1.86534,338.03
676.1000,1.84747,338.006
676.0000,1.93829,337.978
675.9000,1.88382,337.952
675.8000,1.87287,337.929
675.7000,1.79665,337.907
675.6000,1.78299,337.869
675.5000,1.85915,337.842
675.4000,1.87523,337.832
675.3000,1.9957,337.814
675.2000,1.87677,337.783
675.1000,1.83334,337.777
675.0000,1.85973,337.759
674.9000,1.89813,337.718
674.8000,1.89015,337.694
674.7000,2.01903,337.684
674.6000,2.02805,337.676
674.5000,2.07625,337.67
674.4000,2.06979,337.65
674.3000,1.99392,337.636
674.2000,1.88827,337.616
674.1000,1.7919,337.607
674.0000,1.78485,337.601
673.9000,1.82072,337.602
673.8000,1.7909,337.579
673.7000,1.72379,337.565
673.6000,1.86596,337.546
673.5000,1.80226,337.515
673.4000,1.80181,337.489
673.3000,1.77933,337.475
673.2000,1.67382,337.469
673.1000,1.74641,337.453
673.0000,1.70402,337.457
672.9000,1.53613,337.447
672.8000,1.58787,337.434
672.7000,1.63625,337.423
672.6000,1.55252,337.409
672.5000,1.53501,337.405
672.4000,1.50958,337.397
672.3000,1.57301,337.393
672.2000,1.53508,337.389
672.1000,1.56922,337.375
672.0000,1.54318,337.37
671.9000,1.43293,337.357
671.8000,1.47268,337.35
671.7000,1.4762,337.335
671.6000,1.47344,337.321
671.5000,1.42764,337.319
671.4000,1.57235,337.32
671.3000,1.52087,337.316
671.2000,1.5836,337.312
671.1000,1.68191,337.303
671.0000,1.73727,337.293
670.9000,1.76202,337.295
670.8000,1.76343,337.279
670.7000,1.717,337.252
670.6000,1.58387,337.235
670.5000,1.57573,337.228
670.4000,1.564,337.228
670.3000,1.58281,337.232
670.2000,1.47493,337.216
